AAREN	AA R AH N
JORIE	JH AO R AY
JORRIE	JH AO R AY
JORRY	JH AO R IY
JOSCELIN	JH AA S AH L AH N
JOSEE	JH OW Z IY
JOSEFA	JH AA S AH F AH
JOSEITO	JH OW S IY T OW
JOSHER	JH AA SH AH R
JOSHIA	JH AA SH IY AH
JOSHUAH	JH AH SH UW W AH
JOSI	JH OW S IY
JOSIAS	JH OW S IY AH Z
JOSUE	JH AA S UW
JOSY	JH OW Z IY
JOTTER	JH AA T ER
JOTTING	JH AA T IH NG
JOUNCE	JH AW N S
JOUNCY	JH AW N S IY
JOURDAIN	JH AH R D EY N
JOURNALIZE	JH ER N AH L AY Z
JOURNALIZED	JH ER N AH L AY Z D
JOURNALIZER	JH ER N AH L AY Z ER
JOURNEYER	JH ER N IY ER
JOURNEYMEN	JH ER N IY M EH N
JOUSTER	JH AW S T ER
JOVE	JH OW V
JOVIALITY	JH OW V IY AE L AH T IY
JOYAN	JH OY AH N
JOYANN	JH OY AH N
JOYCEAN	JH OY S IY AH N
JOYCELIN	JH OY S AH L AH N
JOYFULLER	JH OY F AH L ER
JOYFULLEST	JH OY F AH L AH S T
JOYFULNESS	JH OY F AH L N AH S
JOYLESS	JH OY L AH S
JOYLESSNESS	JH OY L AH S N AH S
JOYOUSNESS	JH OY AH S N AH S
JOYRIDDEN	JH OY R IH D AH N
JOYRODE	JH OY R OW D
JSANDYE	JH S AE N D AY
JUBAL	JH UW B AH L
JUBILATE	JH UW B AH L AH T
JUDAIC	JH UW D EY AH K
JUDAICAL	JH UW D EY IH S AH L
JUDDERED	JH AH D IY R D
JUDDERING	JH AH D IY R AH NG
JUDGER	JH AH JH ER
JUDICABLE	JH UW D IH S AH B AH L
JUDICATORY	JH UW D IH S AH T AO R IY
JUDICATURE	JH UW D AH S EY T Y AH R
JUDON	JH UW D AH N
JUDYE	JH UW D AY
JUGATE	JH AH G AH T
JUGFUL	JH AH G F AH L
JUGGED	JH AH G D
JUGGING	JH AH G IH NG
JUGGLERY	JH AH G AH L AH R IY
JUICER	JH UW S ER
JUICILY	JH UW S IY L IY
JUICINESS	JH UW S IY N AH S
JUIETA	JH UW AH T AH
JULEE	JH UW L IY IY
JULIANE	JH UW L IY EY N
JULIANNA	JH UW L IY AE N AH
JULIENNE	JH UW L IY N
JULISSA	JH UW L IH S AH
JULITA	JH UW L AH T AH
JULYS	JH UW L AY Z
JUMPILY	JH AH M P IY L IY
JUMPINESS	JH AH M P IY N AH S
JUNGFRAU	JH AH N G F R AH
JUNGIAN	JH AH N JH AH N
JUNIE	JH UW N AY
JUNINA	JH UW N AH N AH
JUNIORITY	JH UW N Y ER AH T IY
JUNKERDOM	JH AH NG K ER D AH M
JUNKETEER	JH AH NG K AH T IH R
JURIDIC	JH UH R IH D IH K
JURIDICAL	JH UH R IH D IH K AH L
JURIED	JH UH R IY D
JURISTIC	JH UH R IH S T IH K
JURUA	JH AH R UW W AH
JURYING	JH UH R IY IH NG
JURYMAN	JH UH R IY M AE N
JURYMEN	JH UH R IY M EH N
JURYWOMAN	JH UH R IY W UH M AH N
JURYWOMEN	JH UH R IY W IH M AH N
JUSTED	JH AH S T IH D
JUSTEST	JH AH S T AH S T
JUSTICIABLE	JH AH S T AH S IY AH B AH L
JUSTIFIER	JH AH S T AH F AY ER
JUSTING	JH AH S T IH NG
JUSTINIAN	JH AH S T IH N IY AH N
JUSTINN	JH AH S T IH N
JUSTNESS	JH AH S T N AH S
JUSTS	JH AH S T S
JUTISH	JH AH T IH SH
JUTTED	JH AH T IH D
JUVENAL	JH UW V AH N AH L
JYOTI	JH AY AH T IY
KAABA	K AA B AH
KABOB	K AE B AH B
KACEY	K EY S IY
KACIE	K EY S AY
KADDISH	K AA D IH SH
KAELA	K IY L AH
KAGOSHIMA	K AH G AA SH AH M AH
KAHALEEL	K AE HH AH L IY L
KAHLIL	K AE L AH L
KAHLUA	K AH L UW W AH
KAIA	K EY AH
KAIFENG	K EY F AH NG
KAILA	K EY L AH
KAILE	K EY AH L
KAILEY	K EY AH L IY
KAITLIN	K EY T L AH N
KAITLYN	K EY T L AH N
KAITLYNN	K EY T L AH N
KAJAR	K EY JH AH R
KAKALINA	K AH K AE L AH N AH
KALA	K AE L AH
KALAHARI	K AH L AE HH AH R IY
KALEB	K AE L AH B
KALEENA	K EY L IY N AH
KALI	K AE L IY
KALIE	K EY L IY
KALILA	K AE L AH L AH
KALINDA	K AH L IH N D AH
KALINDI	K AH L IH N D IY
KALLE	K AO L
KALLI	K AE L IY
KALLY	K AE L IY
KALMYK	K AE L M AH K
KALVIN	K AE L V AH N
KAMEKO	K AE M AH K OW
KAMILA	K AE M AH L AH
KAMILAH	K AE M AH L AH
KAMILLAH	K AH M IH L AH
KAMPUCHEA	K AE M P AH CH IY AH
KANDACE	K AE N D AH S
KANDINSKY	K AE N D IH N S IY
KANDY	K AE N D IY
KANNADA	K AE N AH D AH
KANPUR	K AE N P AH R
KANYA	K AE N AY AH
KAOLINITE	K EY AA L AH N AY T
KAPOK	K AE P AH K
KAPUT	K AE P AH T
KARAGANDA	K AE R AH G AE N D AH
KARAKORUM	K AH R AE K AH R AH M
KARAKUL	K AE R AH K AH L
KARALEE	K AE R AH L IY IY
KARALYNN	K AE R AH L AH N
KARAMAZOV	K AH R AE M AH Z AH V
KAREE	K AH R IY IY
KARENA	K AE R AH N AH
KARIA	K AE R IY AH
KARIE	K AE R AY
KARIL	K AE R AH L
KARILYNN	K AE R AH L AH N
KARINA	K AE R AH N AH
KARINE	K AH R AY N
KARIOTTA	K AE R IY AA T AH
KARISA	K AE R AH S AH
KARISSA	K AH R IH S AH
KARITA	K AE R AH T AH
KARLAN	K AA R L AH N
KARLEE	K AA R L IY IY
KARLEEN	K AA R L IY AH N
KARLENE	K AA R L IY N
KARLIE	K AA R L AY
KARLIS	K AA R L AH S
KARLOFF	K AA R L AH F
KARLOTTA	K AA R L AA T AH
KARLOTTE	K AA R L AH T
KARLY	K AA R L IY
KARLYN	K AA R L AH N
KARMEN	K AA R M AH N
KARMIC	K AA R M AH K
KARNA	K AA R N AH
KARO	K AE R OW
KAROLA	K AE R AH L AH
KAROLE	K AH R OW L
KARRAH	K AE R AH
KARRIE	K AE R AY
KARROO	K AE R UW
KART	K AA R T
KARYL	K AE R AH L
KARYLIN	K AE R AH L AH N
KASAI	K AE S EY
KASSANDRA	K AE S AE N D R AH
KASSEY	K AE S IY
KASSI	K AE S IY
KASSIA	K AE SH IY AH
KASSIE	K AE S AY
KATA	K AE T AH
KATAKANA	K AH T AE K AH N AH
KATALIN	K AE T AH L AH N
KATEE	K EY T IY IY
KATELYN	K AE T AH L AH N
KATERINA	K AH T EH R AH N AH
KATERINE	K AE T AH R AY N
KATHARYN	K AE TH AH R AH N
KATHE	K EY DH
KATHERINA	K AH TH EH R AH N AH
KATHERYN	K AE TH AH R AH N
KATHIAWAR	K AH TH IY AH AH R
KATHLIN	K AE TH L AH N
KATHMANDU	K AE TH M AE N D UW
KATHRINE	K AE TH R AY N
KATHRYNE	K AE TH R AY N
KATHYE	K AE TH AY
KATINA	K AE T AH N AH
KATINE	K AH T AY N
KATINKA	K AH T IH NG K AH
KATLEEN	K EY T L IY AH N
KATLIN	K AE T L AH N
KATMAI	K AE T M EY
KATOWICE	K AE T OW AH S
KATRINE	K AE T R AY N
KATRINKA	K AE T R IH NG K AH
KATTI	K AE T IY
KATTIE	K AE T AY
KATUSCHA	K AH T AH S AH
KATUSHA	K AE T AH SH AH
KAUNAS	K AO N AH Z
KAWABATA	K AO AE B AH T AH
KAYCEE	K EY S IY IY
KAYLE	K EY L
KAYLEE	K EY L IY IY
KAYLEY	K EY L IY
KAYLIL	K EY L AH L
KAYLYN	K EY L AH N
KAZANTZAKIS	K AH Z AE N T S AH K AH S
KEELBY	K IY L B AY
KEELHAUL	K IY L HH AO L
KEELIA	K IY L Y AH
KEENING	K IY N IH NG
KEENNESS	K IY N AH S
KEEWATIN	K IY W AH T AH N
KEGGED	K EH G D
KEGGING	K EH G IH NG
KEISHA	K IY SH AH
KELBEE	K EH L B IY IY
KELCI	K EH L S IY
KELCIE	K EH L S AY
KELCY	K EH L S IY
KELILA	K EH L AH L AH
KELLBY	K EH L B IY
KELLIA	K EH L IY AH
KELLINA	K EH L AH N AH
KELLSIE	K EH L S AY
KELLYANN	K EH L AY AH N
KELSI	K EH L S IY
KELSY	K EH L Z IY
KELWIN	K EH L W AH N
KEMEROVO	K AH M EH R AH V OW
KEMPIS	K EH M P AH S
KENDRE	K EH N D AH R
KENNED	K EH N D
KENNIE	K EH N IY
KENNITH	K EH N IY TH
KENON	K EH N AO N
KENYATTA	K EH N AY AE T AH
KEPI	K EH P IY
KERBSIDE	K AH R B S AY D
KERENSKY	K AH R EH N S IY
KERIANN	K IY R IY AH N
KERIANNE	K IY R IY AH N
KERMIE	K AH R M AY
KERMY	K AH R M IY
KERNED	K ER N D
KERNING	K ER N IH NG
KERRIE	K EH R AY
KERRILL	K EH R AH L
KERRIN	K EH R AH N
KERSTIN	K AH R S T AH N
KERWINN	K AH R W AH N
KESLEY	K EH Z L IY
KESLIE	K EH Z L AY
KESSIA	K EH SH IY AH
KESSIAH	K EH S AY AH
KESTREL	K EH S T R AH L
KETOSIS	K IY T OW S AH S
KETTIE	K EH T AY
KETTLEDRUM	K EH T AH L D R AH M
KETTLEFUL	K EH T AH L F AH L
KETTY	K EH T IY
KEV	K EH V
KEVINA	K EH V AH N AH
KEVON	K EH V AH N
KEVYN	K EH V AH N
KEWASKUM	K Y UW AE S AH M
KEWPIE	K Y UW P AY
KEYBOARDIST	K IY B OW R D IH S T
KEYCLICK	K IY K L IH K
KEYNOTER	K IY N OW T ER
KEYPUNCH	K IY P AH N CH
KEYPUNCHER	K IY P AH N CH ER
KEYRING	K IY R IH NG
KHARKOV	K HH AA R K AH V
KHAYYAM	K HH EY AY AH M
KHOISAN	K HH OW AH S AH N
KHORANA	K HH AO R AH N AH
KHULNA	K HH AH L N AH
KHWARIZMI	K W AH R IH Z M IY
KHYBER	K HH AY B AH R
KIAH	K AY AH
KIBITZ	K IH B AH T S
KIBITZER	K AH B IH T S AH R
KIBOSH	K IH B AH SH
KICKAPOO	K IH K AH P UW
KICKBALL	K IH K B AO L
KICKSTAND	K IH K S T AE N D
KICKY	K IH K IY
KIDDISH	K IH D IH SH
KIDDO	K IH D UW
KIDDYING	K IH D IY IH NG
KIDLESS	K IH D L AH S
KIDSKIN	K IH D S K IH N
KIELBASI	K IY L B AH S IY
KIELE	K IY L
KIERKEGAARD	K IY R K AH G AH R D
KIERSTEN	K IY R S T AH N
KIETH	K AY AH TH
KIKELIA	K AH K IY L Y AH
KIKUYU	K IH K Y UW AY UW
KILAUEA	K AH L AO IY AH
KILLDEER	K IH L D IH ER
KILLIE	K IH L IY
KILLY	K IH L IY
KILOBAUD	K IH L AH B AH D
KILOBUCK	K IH L AH B AH K
KILOCYCLE	K IH L AH S AY K AH L
KILOGAUSS	K IH L AH G AW S
KILOHERTZ	K IH L AH HH AH R T S
KILOHM	K IH L AH M
KILOJOULE	K AH L AA JH OW UW L
KILOLITER	K IH L AH L IY T ER
KILOTON	K IH L AH T AH N
KILOVOLT	K IH L AH V OW L T
KILOWORD	K IH L AH W ER D
KIMBERLEE	K IH M B AH R L IY IY
KIMBERLI	K IH M B AH R L IY
KIMBERLYN	K IH M B AH R L AH N
KIMBRA	K IH M B R AH
KIMMI	K IH M IY
KIMMIE	K IH M AY
KIMMY	K IH M IY
KINDHEARTED	K AY N D HH AA R T IH D
KINDLINESS	K AY N D L IY N AH S
KINE	K AY N
KINEMATIC	K IH N IH M EY T IH K
KINEMATICS	K IH N IH M EY T IH K S
KINESICS	K IH N AH Z AH S Z
KINESTHESIS	K AH N EH S DH AH S AH S
KINETICALLY	K AH N EH T IH K AH L IY
KINFOLK	K IH N F OW K
KINGLET	K IH NG L AH T
KINGLINESS	K IH NG L IY N AH S
KINGSLY	K IH NG S L IH
KINGSTOWN	K IH NG Z T AW N
KINGWOOD	K IH NG W UH D
KINK	K IH NG K
KINNA	K IH N AH
KINSFOLK	K IH N Z F OW K
KINSHASHA	K IH N SH AH SH AH
KINSMEN	K IH N Z M EH N
KINSWOMAN	K IH N Z W UH M AH N
KINSWOMEN	K IH N Z W IH M AH N
KIOWA	K AY OW AH
KIPPAR	K IH P AH R
KIPPED	K IH P T
KIPPIE	K IH P AY
KIPPING	K IH P AH NG
KIPPY	K IH P IY
KIRBEE	K AH R B IY IY
KIRBIE	K AH R B AY
KIRGHISTAN	K AH R IH S T AH N
KIRGHIZ	K IH R AH Z
KIRGHIZIA	K AH R IH Z IY AH
KIRINYAGA	K IH R AH N AY AH G AH
KIRSTENI	K AH R S T AH N IY
KIRSTI	K AH R S T IY
KIRSTYN	K AH R S T AH N
KISANGANI	K AH S AE N G AH N IY
KISHINEV	K IH SH AH N AH V
KISSIAH	K IH S AY AH
KISSIE	K IH S IY
KITAKYUSHU	K IH T AH K AY AH SH UW
KITER	K AY T ER
KITH	K IH TH
KITHS	K IH TH S
KITSCHY	K IH T S IY
KITTED	K IH T IH D
KITTENISH	K IH T AH N IH SH
KITTI	K IH T IY
KITTIE	K IH T IY
KITTING	K IH T IH NG
KITTIWAKES	K IH T AH W EY K S
KIWIFRUIT	K IH W AH F R UW T
KIZZEE	K IH Z IY IY
KIZZIE	K IH Z AY
KLARA	K L AE R AH
KLARIKA	K L AE R AH K AH
KLARRISA	K L AE R AH S AH
KLAXON	K L AE K S AH N
KLEINROCK	K L IY N R AH K
KLEON	K L IY AH N
KLEPTOMANIA	K L EH P T AH M EY N Y AH
KLUDGE	K L AH JH
KLUDGER	K L AH JH AH R
KLUDGEY	K L AH JH IY
KLUTZINESS	K L AH T S AH N AH S
KLUTZY	K L AH T S IY
KLYSTRON	K L IH S T R AH N
KNACKER	N AE K ER
KNACKWURST	N AE K W AH R S T
KNAVERY	N EY V AH R IY
KNAVISH	N EY V AH SH
KNEADER	N IY D ER
KNEECAPPED	N IY K AE P T
KNEECAPPING	N IY K AE P IH NG
KNEELER	N IY L ER
KNEEPAD	N IY P AE D
KNGWARREYE	N G W AO R EY
KNISH	N IH SH
KNOBBLY	N AA B L IY
KNOBELOCH	N AA B AH L AH CH
KNOCKABOUT	N AA K AH B AW T
KNOCKER	N AA K ER
KNOSSOS	N AA S AH Z
KNOTHOLE	N AA T HH OW L
KNOTTINESS	N AA T IY N AH S
KNOTTING	N AA T IH NG
KNOWABLE	N OW AH B AH L
KNOWHOW	N OW HH OW
KNOWINGS	N OW IH NG Z
KNUCKLEBALL	N AH K AH L B AO L
KNUCKLEHEAD	N AH K AH L HH EH D
KNURL	N AH R L
KOCHAB	K AA CH AH B
KODACHROME	K AA D AH K R OW M
KODALY	K AA D AH L IY
KOENRAAD	K OW EH N R AH D
KOHINOOR	K AH HH IH N OW AH R
KOHLRABIES	K OW L R AH B AY Z
KOLA	K OW L AH
KOLYMA	K AA L AH M AH
KOMMUNIZMA	K AA M Y AH N IH Z M AH
KONGO	K AA N G OW
KONSTANCE	K AA N S T AH N S
KONSTANTINE	K AA N S T AH N T AY N
KONSTANZE	K AA N S T AH N Z
KOOKABURRA	K UH K AH B AH R AH
KOOKINESS	K UH K AH N AH S
KOPECK	K AA P AH K
KORALLE	K AO R AH L
KORDULA	K AO R D Y UW L AH
KORE	K AO R
KORELLA	K AH R EH L AH
KORESSA	K AH R EH S AH
KORIE	K AO R AY
KORNEY	K AO R N IY
KORRIE	K AO R AY
KORZYBSKI	K AO R Z IH B S K IY
KOSCIUSKO	K AA S IY AH S OW
KOWLOON	K OW L UW N
KRAAL	K R EY AH L
KRAKATOA	K R AH K AE T OW AH
KRASNODAR	K R AE Z N AH D AH R
KRIEGSPIEL	K R IY G S P IY L
KRINGLE	K R IH N G AH L
KRISHA	K R IH SH AH
KRISHNAH	K R IH SH N AH
KRISPIN	K R IH S AH N
KRISSIE	K R IH S AY
KRISSY	K R IH S IY
KRISTAL	K R IH S T AH L
KRISTAN	K R IH S T AH N
KRISTE	K R AY S T
KRISTEL	K R IH S T AH L
KRISTIAN	K R IH S AH N
KRISTIEN	K R IH S T IY AH N
KRISTO	K R IH S T OW
KRISTOFER	K R IH S T OW F AH R
KRISTOFFER	K R IH S T AA F AH R
KRISTOFOR	K R IH S T AH F AH R
KRISTOFORO	K R IH S T AA F AH R OW
KRISTYN	K R IH S T AH N
KRONECKER	K R AH N EH K AH R
KROPOTKIN	K R AH P AA T AH N
KRYSTA	K R IH S T AH
KRYSTALLE	K R IH S T AH L
KRYSTLE	K R IH S AH L
KRYSTYNA	K R IH S T AH N AH
KRÃ“NA	K R N AA
KRÃ“NUR	K R N AH R
KUBLAI	K AH B L EY
KUCHEN	K AH CH AH N
KUENNING	K Y UW EH N AH NG
KUIBYSHEV	K UW B AH SH AH V
KUNMING	K AH N M AH NG
KURTOSIS	K AH R T OW S AH S
KUZNETSK	K AH Z N AH T S
KWAKIUTL	K W EY K IY AH T L
KYLA	K IH L AH
KYLEN	K AY L AH N
KYLILA	K IH L AH L AH
KYLYNN	K IH L AH N
KYNTHIA	K IH N TH IY AH
KYRSTIN	K AH R S T AH N
LABELER	L EY B AH L ER
LABELLINGS	L EY B AH L IH NG Z
LABILE	L EY B AY L
LABIODENTAL	L EY B IY AH D EH N T AH L
LABOREDNESS	L EY B ER AH D N AH S
LABORINGS	L EY B ER IH NG Z
LABORSAVING	L EY B ER S EY V IH NG
LABRADOREAN	L AE B R AH D AO R IY AH N
LABURNUM	L AH B AH R N AH M
LABYRINTHS	L AE B AH R IH N TH S
LACEE	L EY S IY
LACEWING	L EY S W IH NG
LACHESIS	L AE CH AH S AH S
LACHRYMAL	L AE K R AH M AH L
LACHRYMOSE	L AE K R AH M OW Z
LACIE	L EY S IY
LACING	L EY S IH NG
LACKADAISIC	L AE K AH D EY AH S IH K
LACKER	L AE K ER
LACONICALLY	L AH K AA N AH K AE L IY
LACQUERER	L AE K ER ER
LACTATIONAL	L AE K T EY SH AH N AH L
LACTEAL	L AE K T IY AH L
LACUNA	L AE K Y UW N AH
LACUNAE	L AE K Y AH N IY
LADDIE	L AE D IY
LADED	L EY D IH D
LADENED	L EY D AH N D
LADENING	L EY D AH N IH NG
LADOGA	L AE D AH G AH
LADONNA	L AH D AA N AH
LADYFINGER	L EY D IY F IH NG G ER
LADYLOVE	L EY D IY L AH V
LADYSHIP	L EY D IY SH IH P
LAETITIA	L IY T IH SH IY AH
LAETRILE	L IY T R AH L
LAGGARDNESS	L AE G AA R D N AH S
LAGNIAPPE	L AE G N IY AH P
LAGRANGIAN	L AE G R AE N JH AH N
LAGUERRE	L AE G W AH R
LAINA	L EY N AH
LAINEY	L EY N IY
LAIUS	L EY AH S
LAKEHURST	L AE K AH HH AH R S T
LAKEISHA	L EY K IY SH AH
LAKISHA	L AE K AH SH AH
LAKSHMI	L AE K M IY
LALLYGAG	L AE L AH G AH G
LALLYGAGGED	L AE L AH G AH G D
LAMAISM	L AE M EY IH Z AH M
LAMARCK	L AE M AH R K
LAMASERY	L AE M AH Z EH R IY
LAMAZE	L AH M EY Z
LAMBADA	L AE M B AH D AH
LAMBENCY	L AE M AH N S IY
LAMBENT	L AE M AH N T
LAMBKIN	L AE M K IH N
LAMBSKIN	L AE M S K IH N
LAMBSWOOL	L AE M Z W UH L
LAMEBRAIN	L EY M B R EY N
LAMED	L EY M D
LAMENESS	L EY M N AH S
LAMENTABLY	L AH M EH N T AH B L IY
LAMENTATION	L AE M AH N T EY SH AH N
LAMINAE	L AE M AH N IY
LAMINATION	L AE M AH N EY SH AH N
LAMMED	L AE M D
LAMMER	L AE M ER
LAMMING	L AE M IH NG
LAMPBLACK	L AE M P B L AE K
LAMPLIGHT	L AE M P L AY T
LAMPOONER	L AE M P UW N ER
LAMPSHADE	L AE M P SH EY D
LANAE	L AE N IY
LANDHOLD	L AE N D HH OW L D
LANDLINES	L AE N D L AY N Z
LANDLUBBER	L AE N D L AH B AH R
LANDOWNING	L AE N D OW N IH NG
LANDSLID	L AE N D S L IH D
LANDSLIP	L AE N D S L IH P
LANDSMEN	L AE N D Z M EH N
LANDSTEINER	L AE N D S T AY N ER
LANETTE	L EY N EH T
LANGERHANS	L AE N JH AH R AH N Z
LANGMUIR	L AE N G M UW R
LANGSDON	L AE N G S D AH N
LANGUIDNESS	L AE NG G W AH D N AH S
LANGUISHER	L AE NG G W IH SH ER
LANGUOR	L AE N G W AH R
LANGUOROUS	L AE N G W AH R AH S
LANIE	L EY N IY
LANITA	L AE N AH T AH
LANKINESS	L AE NG K IY N AH S
LANKNESS	L AE NG K N AH S
LANNIE	L AE N AY
LANTHANIDE	L AE N TH AH N AY D
LANZHOU	L AE N Z HH UW
LAOCOON	L EY AH K UW N
LAPBOARD	L AE P B OW R D
LAPLACE	L AE P L EY S
LAPPET	L AE P AH T
LAPSER	L AE P S ER
LAPWING	L AE P W IH NG
LARBOARD	L AA R B OW R D
LARCENIST	L AA R S AH N AH S T
LARDY	L AA R D IY
LARGEMOUTH	L AA R JH M AW TH
LARGISH	L AA R JH IH SH
LARI	L AE R IY
LARISA	L AE R AH S AH
LARKER	L AA R K ER
LAROUSSE	L AH R AW S
LARYNGES	L AH R IH N JH AH Z
LARYSSA	L AH R IH S AH
LASSITUDE	L AE S AH T UW D
LASSOER	L AE S OW ER
LASTINGNESS	L AE S T IH NG N AH S
LATASHIA	L AH T AE SH IY AH
LATED	L EY T IH D
LATERAN	L EY T R AE N
LATHERER	L AE DH ER ER
LATHERY	L EY DH AH R IY
LATHING	L EY DH IH NG
LATHS	L AE TH S
LATIA	L EY SH IY AH
LATICES	L EY T IH K S IH Z
LATISH	L EY T IH SH
LATONYA	L AH T AA N AY AH
LATRENA	L AE T R AH N AH
LATRINA	L AE T R AH N AH
LATTICING	L AE T AH S IH NG
LAUDABLY	L AO D AH B L IY
LAUGHABLY	L AE F AH B L IY
LAUNCE	L AO N S
LAUNCHPAD	L AO N CH P AE D
LAUNDERETTE	L AO N D ER EH T
LAUNDRESS	L AO N D R AH S
LAUNDRETTE	L AO N D R EH T
LAUNDRYMAN	L AO N D R IY M AE N
LAUNDRYMEN	L AO N D R IY M EH N
LAURAINE	L AH R EY N
LAURAL	L EY Y AH R AH L
LAURALEE	L AA V R AH L IY
LAURASIA	L AH R EY ZH IY AH
LAUREE	L EY Y AH R IY IY
LAURELLA	L AH R EH L AH
LAURIANNE	L AO R IY AH N
LAURITZ	L AO R AH T S
LAURYN	L AO R AH N
LAVAGE	L EY V AH JH
LAVALIERE	L AE V AH L IY R
LAVENA	L AE V AH N AH
LAVERN	L AE V AH R N
LAVERNA	L AH V AH R N AH
LAVINIE	L AE V AH N AY
LAVISHNESS	L AE V IH SH N AH S
LAVOISIER	L AH V OY S AY AH R
LAVONNE	L AE V AH N
LAWANDA	L AO AE N D AH
LAWFULNESS	L AO F AH L N AH S
LAWGIVER	L AO G IH V ER
LAWGIVING	L AO G IH V IH NG
LAXER	L AE K S ER
LAXES	L AE K S IH Z
LAXNESS	L AE K S N AH S
LAYABOUT	L EY AH B AW T
LAYAMON	L EY AH M AH N
LAYETTE	L EY EH T
LAYNEY	L EY N IY
LAYUP	L EY AH P
LAYWOMAN	L EY W UH M AH N
LAYWOMEN	L EY W IH M AH N
LAZE	L EY Z
LAZYBONES	L EY Z IY B OW N Z
LEACHATE	L IY CH AH T
LEADENNESS	L EH D AH N AH S
LEADSMAN	L IY D Z M AE N
LEADSMEN	L IY D Z M EH N
LEAFAGE	L IY F IH JH
LEAFINESS	L IY F IY N AH S
LEAFSTALK	L IY F S T AO K
LEAKINESS	L IY K IY N AH S
LEANDRA	L IY N D R AH
LEANNA	L IY N AH
LEANNE	L IY N
LEANNESS	L IY N AH S
LEANOR	L IY N ER
LEANORA	L IY N AH R AH
LEAPER	L IY P ER
LEARNEDLY	L ER N AH D L IY
LEARNEDNESS	L ER N AH D N AH S
LEASEHOLDER	L IY S HH OW L D ER
LEASTWISE	L IY S T W AY Z
LEATHERETTE	L EH DH ER EH T
LEATHERN	L IY TH AH R N
LEATHERNECK	L EH DH ER N EH K
LEBBIE	L EH B AY
LEBENSRAUM	L EY B AH N Z R AW M
LEBESGUE	L EH B AH Z
LECHERY	L EH CH ER IY
LECTURESHIP	L EH K CH ER SH IH P
LEDERBERG	L EH D ER B ER G
LEEANN	L IY AH N
LEEANNE	L IY AH N
LEELA	L IY L AH
LEELAH	L IY L AH
LEELAND	L IY L AE N D
LEER	L IH ER
LEERINESS	L IY R IY N AH S
LEERING	L IH ER IH NG
LEESA	L IY S AH
LEEUWENHOEK	L IY AH W EH N HH OW AH K
LEFTMOST	L EH F T M OW S T
LEGATEE	L EH G AH T IY
LEGATION	L IH G EY SH AH N
LEGENDARILY	L EH JH AH N D EH R IY L IY
LEGGINESS	L EH G IY N AH S
LEGIBLY	L EH G AH B L IY
LEGIONARY	L IY JH AH N EH R IY
LEGMAN	L EH G M AE N
LEGMEN	L EH G M EH N
LEGRA	L EH G R AH
LEGUMINOUS	L IH G Y UW M AH N AH S
LEIDEN	L IY D AH N
LEIGHA	L EY AH
LEILAH	L IY L AH
LEISHA	L IY SH AH
LEISUREWEAR	L EH ZH ER W AE ER
LEITMOTIV	L AY T M OW T IY F
LEMMY	L EH M IY
LEMONY	L EH M AH N IY
LEMUEL	L EH M Y UW AH L
LEMURIA	L EH M Y UH R IY AH
LENCI	L EH N S IY
LENEE	L IY N IY IY
LENETTE	L IY N EH T
LENGTHENER	L EH NG TH AH N ER
LENGTHILY	L EH NG TH IY L IY
LENGTHINESS	L EH NG TH IY N AH S
LENIENCE	L IY N IY AH N S
LENITIVE	L EH N AH T AH V
LENKA	L EH NG K AH
LENNA	L EH N AH
LENOIR	L AH N OY R
LENTICULAR	L EH N T IH S Y AH L AH R
LEODORA	L IY AA D AH R AH
LEOLINE	L IY AH L AY N
LEONANIE	L IY AH N EY N AY
LEONCAVALLO	L IY AO NG K AH V AE L OW
LEONINE	L IY AH N AY N
LEONOR	L IY AH N AH R
LEOPARDESS	L EH P ER D AH S
LEOPARDSKIN	L EH P ER D S K IH N
LEPIDUS	L EH P AH D AH S
LEPKE	L EH P
LEPROUS	L EH P R AH S
LEPTA	L EH P T AH
LEPTON	L EH P T AH N
LEPUS	L IY P AH S
LEROI	L EH R OY
LESHIA	L EH SH IY AH
LESLI	L EH Z L IY
LESLY	L Z L IY
LESSEPS	L EH S AH P S
LESSES	L EH S IH Z
LESSIE	L EH S IY
LESYA	L EH S AY AH
LETHE	L EH DH
LETISHA	L EH T AH SH AH
LETTA	L EH T AH
LETTERBOX	L EH T ER B AA K S
LETTERER	L EH T ER ER
LETTERMEN	L EH T ER M AH N
LETTI	L EH T IY
LEUKEMIC	L UW K AH M AH K
LEVEEING	L EH V IY IH NG
LEVELER	L EH V AH L ER
LEVELHEADED	L EH V AH L HH EH D IH D
LEVELNESS	L EH V AH L N AH S
LEVIER	L EH V IY ER
LEVON	L EH V AH N
LEWES	L UW Z
LEWIE	L UW AY
LEWISS	L UW AH S
LEXEME	L EH K S IY M
LEXI	L EH K S IY
LEXY	L EH K S IY
LEYLA	L EY L AH
LEZLEY	L EH Z L IY
LEZLIE	L EH Z L AY
LHOTSE	L HH AA T S
LIAISE	L AY AH AY Z
LIBATION	L AY B EY SH AH N
LIBBI	L IH B IY
LIBBIE	L IH B AY
LIBELER	L AY B AH L ER
LIBERALIZER	L IH B ER AH L AY Z ER
LIBERALNESS	L IH B ER AH L N AH S
LIBRETOES	L IH B R AH T OW Z
LIBRETOS	L IH B R AH T AH Z
LIBREVILLE	L IH B R AH V AH L
LIBRIUM	L IH B R IY AH M
LICENTIATE	L AY S AH N T IY AH T
LICHA	L IH CH AH
